,date,sentiment
564,2008-07-18,-0.176
565,2008-07-19,-0.158
566,2008-07-20,-0.121
567,2008-07-21,0.121
568,2008-07-22,0.463
569,2008-07-23,0.445
570,2008-07-24,0.352
571,2008-07-25,0.007
572,2008-07-26,0.0
573,2008-07-27,-0.073
574,2008-07-28,0.201
575,2008-07-29,0.039
576,2008-07-30,-0.036
577,2008-07-31,-0.235
578,2008-08-01,-0.085
579,2008-08-02,0.34
580,2008-08-03,0.377
581,2008-08-04,0.132
582,2008-08-05,-0.088
583,2008-08-06,0.304
584,2008-08-07,0.216
585,2008-08-08,-0.029
586,2008-08-09,-0.092
587,2008-08-10,0.642
588,2008-08-11,0.119
589,2008-08-12,0.163
590,2008-08-13,0.136
591,2008-08-14,0.146
592,2008-08-15,-0.182
593,2008-08-16,0.348
594,2008-08-17,0.547
595,2008-08-18,0.349
596,2008-08-19,0.174
597,2008-08-20,0.114
598,2008-08-21,0.15
599,2008-08-22,0.015
600,2008-08-23,0.586
601,2008-08-24,0.223
602,2008-08-25,0.243
603,2008-08-26,0.205
604,2008-08-27,0.26
605,2008-08-28,0.106
606,2008-08-29,0.059
607,2008-08-30,-0.459
608,2008-08-31,0.309
609,2008-09-01,-0.29
610,2008-09-02,0.016
611,2008-09-03,0.051
612,2008-09-04,0.032
613,2008-09-05,-0.067
614,2008-09-06,0.0
615,2008-09-07,-0.166
616,2008-09-08,0.233
617,2008-09-09,-0.184
618,2008-09-10,0.216
619,2008-09-11,0.317
620,2008-09-12,0.304
621,2008-09-13,-0.296
622,2008-09-14,-0.462
623,2008-09-15,-0.259
624,2008-09-16,-0.188
625,2008-09-17,0.096
626,2008-09-18,0.148
627,2008-09-19,-0.135
628,2008-09-20,0.718
629,2008-09-21,0.196
630,2008-09-22,0.164
631,2008-09-23,-0.104
632,2008-09-24,-0.04
633,2008-09-25,0.036
634,2008-09-26,0.0
635,2008-09-27,0.0
636,2008-09-28,0.129
637,2008-09-29,0.31
638,2008-09-30,0.226
639,2008-10-01,-0.05
640,2008-10-02,0.108
641,2008-10-03,-0.418
642,2008-10-04,0.0
643,2008-10-05,-0.44
644,2008-10-06,-0.019
645,2008-10-07,-0.27
646,2008-10-08,0.259
647,2008-10-09,0.079
648,2008-10-10,-0.122
649,2008-10-11,0.0
650,2008-10-12,-0.123
651,2008-10-13,-0.056
652,2008-10-14,0.138
653,2008-10-15,0.202
654,2008-10-16,0.096
655,2008-10-17,-0.046
656,2008-10-18,0.0
657,2008-10-19,0.044
658,2008-10-20,-0.159
659,2008-10-21,0.009
660,2008-10-22,0.211
661,2008-10-23,0.14
662,2008-10-24,-0.165
663,2008-10-25,0.0
664,2008-10-26,-0.581
665,2008-10-27,0.178
666,2008-10-28,0.261
667,2008-10-29,-0.032
668,2008-10-30,0.431
669,2008-10-31,-0.153
670,2008-11-01,0.0
671,2008-11-02,-0.149
672,2008-11-03,0.019
673,2008-11-04,0.032
